IdLocalSap;CodigoMaterial;Departamento;Ean13;DigitoVerificador;Jerarquia;Pesable;Fraccionable;UnidadMedida;DescripcionCorta;DescripcionLarga;PrecioFlejes;ImportePPUMS;Impuesto;IdMarca;TipoBarra ;UnidadMedidaFlejes;TimeStampActualizacion
J512;995750;28;2494143;3;280401008;1;0;UN;GUICHE CAMAR1600GR;*GUICHE SETA. CAMARON GRANDE 1600GR;999999;624999,38;1;9999;BC;KG;2018-07-25T17:52:34
J512;995751;28;2494142;6;280204003;1;0;UN;GUICHE CHAMP220GR;*GUICHE POLLO. CHAMPIÌÔON PEQUEÌÔA 220GR;99999;454540,91;1;9999;BC;KG;2018-07-26T13:45:46
J512;995751;28;209000132888;1;280204003;0;0;UN;GUICHE CHAMP220GR;*GUICHE POLLO. CHAMPIÌÔON PEQUEÌÔA 220GR;99999;454540,91;1;9999;IE;KG;2018-07-26T13:41:37
J512;995752;28;780875530002;3;280401008;0;0;UN;GUICHE CHAMP620GR;*GUICHE POLLO. CHAMPIÌÔON MEDIANA 620GR;999999;1612901,61;1;2715;HE;KG;2018-07-25T17:52:34
J512;995752;28;209000132889;8;280401008;0;0;UN;GUICHE CHAMP620GR;*GUICHE POLLO. CHAMPIÌÔON MEDIANA 620GR;999999;1612901,61;1;2715;IE;KG;2018-07-25T16:53:47
J512;995752;28;2494141;9;280401008;1;0;UN;GUICHE CHAMP620GR;*GUICHE POLLO. CHAMPIÌÔON MEDIANA 620GR;999999;1612901,61;1;2715;BC;KG;2018-07-25T17:52:34
J512;995753;28;2494140;2;280401008;1;0;UN;GUICHE ESPIQUE20GR;*GUICHE ESPINACA. QUESO PEQUEÌÔA 220GR;999999;4545450;1;9999;BC;KG;2018-07-25T17:52:34
J512;995753;28;209000132890;4;280401008;0;0;UN;GUICHE ESPIQUE20GR;*GUICHE ESPINACA. QUESO PEQUEÌÔA 220GR;999999;4545450;1;9999;IE;KG;2018-07-25T16:53:47
J512;995754;28;780875530006;1;280401008;0;0;UN;GUICHE ESPIQU620GR;*GUICHE ESPINACA. QUESO MEDIANA 620GR;999999;1612901,61;1;2715;HE;KG;2018-07-25T17:52:34
J512;995754;28;209000132891;1;280401008;0;0;UN;GUICHE ESPIQU620GR;*GUICHE ESPINACA. QUESO MEDIANA 620GR;999999;1612901,61;1;2715;IE;KG;2018-07-25T16:53:47
J512;995754;28;2493849;5;280401008;1;0;UN;GUICHE ESPIQU620GR;*GUICHE ESPINACA. QUESO MEDIANA 620GR;999999;1612901,61;1;2715;BC;KG;2018-07-25T17:52:34
